Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
4.082	0.29645	0.72026	0.5431
8.6925	0.25743	0.79926	0.3022
14.601	0.35323	1.0476	0.2262
8.1171	0.32893	0.70686	0.38773
7.705	0.38267	0.63407	0.37348
9.5789	0.28876	0.81325	0.27017
7.9874	0.33186	0.69327	0.59483
8.5999	0.38863	0.73056	0.34286
5.9882	0.52445	0.66146	0.68267
2.6181	0.27145	0.46459	0.59677
5.4756	0.31045	0.97633	0.47709
1.8545	0.37288	0.27782	0.72727
0.90523	0.39255	0.13535	0.88095
6.4325	0.3643	0.86577	0.42361
4.0197	0.27954	0.51661	0.52
7.7866	0.31698	0.73358	0.53653
6.7442	0.2962	1.0502	0.35254
1.3541	0.34752	0.19292	0.73134
12.879	0.38254	0.84714	0.24604
9.2614	0.46561	0.76882	0.38051
5.189	0.49418	0.62016	0.534
3.0981	0.45569	0.57239	0.61765
4.6897	0.43415	0.43509	0.55643
3.7121	0.40102	0.42644	0.59615
3.3346	0.30529	0.7359	0.60571
2.0982	0.59048	0.12503	0.78659
2.8713	0.49837	0.23585	0.69953
10.922	0.45812	0.6706	0.44606
6.2932	0.41052	0.57688	0.52953
8.9327	0.37845	0.85204	0.32775
2.6321	0.21893	0.67001	0.51724
3.3455	0.27272	0.86475	0.49479
11.073	0.39289	0.78856	0.26932
6.3959	0.31683	0.88868	0.57967
4.9832	0.39894	0.81348	0.44708
1.9861	0.39168	0.47632	0.79412
5.7014	0.39754	0.72936	0.43542
5.2462	0.2746	0.82445	0.40214
3.0101	0.31906	0.57291	0.625
2.9376	0.27462	0.83845	0.75
1.8104	0.4456	0.19365	0.71795
0.96472	0.25884	0.07974	0.83871
5.4671	0.30215	0.7251	0.46995
3.614	0.23386	0.89012	0.45128
6.0309	0.30257	0.84848	0.44917
3.512	0.27346	0.71331	0.44248
3.3671	0.29664	0.58401	0.68874
1.71	0.48862	0.21407	0.84466
4.0198	0.22697	0.87261	0.51075
3.404	0.3696	0.53387	0.61215
2.8817	0.26329	0.6527	0.66387
7.3335	0.35228	1.1599	0.37155
1.6815	0.31413	0.47601	0.7971
2.5887	0.51568	0.56515	0.72021
2.2805	0.25268	0.71305	0.68966
6.1405	0.51769	0.76424	0.47353
4.8212	0.29283	0.84141	0.60996
4.9192	0.23623	1.0486	0.61111
3.8119	0.46358	0.38686	0.59547
4.6093	0.2542	0.80594	0.58095
3.3374	0.29065	0.36869	0.65161
2.8175	0.34427	0.47012	0.72143
1.7356	0.78578	0.3115	0.8875
5.2022	0.28984	0.98954	0.53401
4.7331	0.31654	0.60178	0.54167
2.9857	0.4246	0.60812	0.75
1.9557	0.33393	0.42616	0.8
1.6809	0.19998	0.28296	0.7
8.1192	0.28626	0.88768	0.37931
2.6736	0.25864	0.53023	0.73469
2.2777	0.37527	0.55304	0.81651
4.4352	0.29666	0.78156	0.65865
2.4479	0.51787	0.43109	0.70588
