Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.9212	0.26168	0.72026	0.5431
1.3643	0.37332	0.63407	0.37348
1.4463	0.25357	0.81325	0.27017
1.748	0.32561	0.69327	0.59483
1.2943	0.38293	0.73056	0.34286
0.91461	0.25717	0.46459	0.59677
1.8957	0.2944	0.97633	0.47709
0.92838	0.31675	0.27782	0.72727
0.63453	0.38839	0.13535	0.88095
1.0922	0.25406	0.51661	0.52
0.93991	0.3365	0.73358	0.53653
0.904	0.25378	0.19292	0.73134
1.9534	0.36372	0.57239	0.61765
1.8628	0.29568	0.7359	0.60571
0.9804	0.36575	0.85204	0.32775
1.2921	0.2227	0.67001	0.51724
0.75121	0.30351	0.86475	0.49479
4.2393	0.27597	0.78856	0.26932
1.0639	0.33959	0.88868	0.57967
0.55719	0.53921	0.47632	0.79412
0.84914	0.28221	0.82445	0.40214
0.70176	0.2952	0.83845	0.75
0.80524	0.2096	0.07974	0.83871
0.87482	0.34872	0.7251	0.46995
0.64689	0.25938	0.89012	0.45128
1.2229	0.27144	0.84848	0.44917
1.6099	0.24945	0.71331	0.44248
1.8097	0.29943	0.58401	0.68874
1.2105	0.40293	0.21407	0.84466
0.82025	0.24977	0.87261	0.51075
0.73464	0.42958	0.53387	0.61215
1.5763	0.22998	0.6527	0.66387
0.72952	0.28102	0.47601	0.7971
0.61677	0.29481	0.71305	0.68966
1.1751	0.30731	0.84141	0.60996
0.7249	0.28332	1.0486	0.61111
1.9228	0.21926	0.80594	0.58095
2.2313	0.21212	0.36869	0.65161
1.2505	0.26163	0.47012	0.72143
3.5295	0.25316	0.60178	0.54167
0.81933	0.35867	0.42616	0.8
1.0206	0.18254	0.28296	0.7
6.0479	0.24275	0.88768	0.37931
1.6131	0.25212	0.53023	0.73469
0.98728	0.3938	0.55304	0.81651
2.8721	0.26534	0.78156	0.65865
