Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
6.4844	0.32436	0.96322	0.37889
9.5118	0.32714	0.8424	0.44875
15.46	0.35595	1.3404	0.25951
3.1171	0.44367	0.11297	0.73469
6.7743	0.28496	0.67278	0.56941
8.3961	0.39349	0.75091	0.42417
7.2673	0.61452	0.44261	0.49154
3.6665	0.18336	0.52654	0.58824
4.6248	0.32188	0.54345	0.70455
9.6746	0.33156	0.72835	0.25457
3.2546	0.73183	0.05544	0.7678
3.0957	0.20476	0.56045	0.52381
6.3107	0.2922	0.58007	0.4898
7.4958	0.32159	0.75529	0.2922
2.6981	0.31324	0.69671	0.70968
4.0715	0.29014	0.83391	0.42123
2.3328	0.1935	0.32129	0.60256
8.2497	0.31316	0.78218	0.29922
6.3063	0.59546	0.39349	0.58358
12.21	0.40113	1.1794	0.31776
6.3958	0.45348	0.32609	0.51536
4.1118	0.27561	0.52079	0.76129
10.506	0.42327	0.61008	0.2714
1.8212	0.3586	0.16407	0.87179
5.4499	0.3313	0.50742	0.37154
3.485	0.42715	0.70872	0.56569
5.8264	0.37747	0.58053	0.40459
3.2561	0.3215	0.43673	0.57672
11.408	0.33338	1.6067	0.23446
2.2945	0.40601	0.3521	0.79508
5.3297	0.41085	0.40618	0.44444
3.5828	0.30558	0.74115	0.68263
0.90992	0.41164	0.076171	0.92857
1.6616	0.34101	0.29799	0.89394
4.088	0.33595	0.60112	0.62719
5.5903	0.29377	1.0589	0.44186
4.1914	0.37807	0.58863	0.56897
1.341	0.31511	0.13061	0.67692
