Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
9.4155	0.52429	0.80751	0.46432
3.4043	0.24262	0.71054	0.45745
6.7847	0.3369	0.6817	0.39016
8.0683	0.25592	0.72172	0.33026
6.7384	0.29503	0.91176	0.48936
8.0311	0.55847	0.79517	0.54684
2.2472	0.26925	0.43614	0.76829
8.4866	0.32479	0.7116	0.3583
3.7221	0.47219	0.35538	0.54303
1.8059	0.55309	0.049568	0.90435
14.026	0.33278	0.8516	0.23604
3.4074	0.22267	0.716	0.62698
8.2856	0.38019	1.0821	0.3378
2.4124	0.19508	0.73848	0.57647
4.8473	0.39626	0.62285	0.53191
2.4036	0.43553	0.31079	0.79562
3.3888	0.2749	0.85903	0.4949
1.8981	0.25299	0.41272	0.74627
0.70907	0.31152	0.046526	0.92
2.4477	0.28643	0.73188	0.65766
2.8137	0.34816	0.57716	0.6
3.2004	0.29108	0.75165	0.62179
2.5856	0.20801	0.77546	0.7
1.7051	0.37174	0.4609	0.70968
2.9096	0.33338	0.54454	0.58382
6.4838	0.53768	0.7014	0.50069
2.549	0.38807	0.454	0.72028
1.8839	0.37215	0.41148	0.68868
2.8531	0.2087	0.65481	0.7561
1.3185	0.50989	0.15696	0.89744
2.4985	0.13069	0.52951	0.61818
3.0184	0.41364	0.33195	0.58296
3.6956	0.34824	0.61802	0.61187
3.0708	0.23457	0.7529	0.61475
2.4966	0.20388	0.65412	0.75714
2.7856	0.29995	0.56206	0.67969
3.9572	0.50238	0.44169	0.64486
3.8607	0.20896	0.85458	0.60432
3.3188	0.36173	0.62168	0.67204
3.2813	0.24586	0.72791	0.81553
2.8786	0.19017	0.73839	0.64045
1.7438	0.25886	0.38275	0.81034
4.822	0.31867	0.89979	0.64516
1.8658	0.31399	0.53208	0.81333
3.4034	0.26526	0.79897	0.54651
2.4822	0.27084	0.70885	0.54264
