Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.5095	0.20406	0.71054	0.45745
1.1039	0.34839	0.6817	0.39016
0.85111	0.27792	0.72172	0.33026
0.79336	0.26339	0.43614	0.76829
1.3705	0.25659	0.7116	0.3583
1.558	0.48206	0.049568	0.90435
1.4981	0.19866	0.716	0.62698
0.68925	0.20973	0.73848	0.57647
1.1103	0.29597	0.62285	0.53191
1.264	0.32348	0.31079	0.79562
0.93508	0.24391	0.41272	0.74627
0.55398	0.23666	0.046526	0.92
0.6949	0.35878	0.75165	0.62179
1.0347	0.20043	0.77546	0.7
0.78332	0.42241	0.4609	0.70968
0.88865	0.22807	0.65481	0.7561
0.89992	0.45787	0.15696	0.89744
0.73345	0.14925	0.52951	0.61818
1.2235	0.32681	0.61802	0.61187
0.81207	0.24351	0.7529	0.61475
0.97037	0.2273	0.65412	0.75714
0.91206	0.36255	0.56206	0.67969
1.0121	0.22605	0.85458	0.60432
2.0754	0.37346	0.62168	0.67204
1.5828	0.23878	0.72791	0.81553
0.90952	0.20512	0.73839	0.64045
0.8507	0.26736	0.38275	0.81034
3.0224	0.26249	0.89979	0.64516
0.80163	0.35756	0.53208	0.81333
1.8054	0.24879	0.79897	0.54651
