Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.5724	0.24432	6.6613e-17	0.66667
2.2441	0.32953	4.4409e-17	0.70642
1.2848	0.26164	4.4409e-17	0.74468
1.9998	0.24973	8.8818e-17	0.50485
2.2542	0.24284	4.4409e-17	0.66279
2.7471	0.41253	8.8818e-17	0.69412
1.8926	0.2791	8.8818e-17	0.71429
2.5385	0.20052	4.4409e-17	0.42742
1.9038	0.48429	4.4409e-17	0.75
3.4672	0.32131	1.7764e-16	0.74839
4.5375	0.41697	1.7764e-16	0.6195
4.0466	0.32752	2.6645e-16	0.4964
0.97181	0.40518	6.6613e-17	0.83673
1.0219	0.35714	4.4409e-17	0.84444
2.6491	0.40968	4.4409e-17	0.60753
0.87927	0.41506	3.3307e-17	0.80851
1.4801	0.31147	8.8818e-17	0.81356
0.82953	0.24313	2.2204e-17	0.61765
3.9355	0.2782	1.3323e-16	0.40283
2.2659	0.41961	4.4409e-17	0.78571
1.5956	0.46948	1.1102e-16	0.80412
0.66589	0.60575	2.2204e-17	0.91304
0.66419	0.31811	0	0.88
1.7115	0.49381	8.8818e-17	0.83019
1.5255	0.3022	2.2204e-17	0.81356
3.3449	0.22683	2.2204e-16	0.55245
0.5149	0.27978	0	0.83333
0.92129	0.28146	3.3307e-17	0.84375
4.6919	0.28248	0	0.38655
0.6843	0.25262	0	0.9
2.0667	0.41823	8.8818e-17	0.72581
1.1776	0.26914	0	0.75
0.70312	0.19123	0	0.7
0.60529	0.238	0	0.78947
