Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.6712	0.28763	0.81897	0.68376
3.8629	0.28592	1.0051	0.55825
6.4453	0.3159	0.86146	0.30592
8.7068	0.3629	1.0374	0.36637
1.6831	0.39371	0.11867	0.8625
8.3896	0.29992	0.81598	0.38026
4.2056	0.29459	0.51947	0.47778
5.4527	0.25716	0.88281	0.64317
2.9277	0.29852	0.68795	0.65942
7.3836	0.32388	0.85111	0.33112
10.088	0.33037	1.2202	0.33301
1.9355	0.33246	0.49508	0.71277
9.8772	0.32087	0.81812	0.40342
1.938	0.27257	0.42464	0.80882
5.3144	0.31625	0.79884	0.38976
11.765	0.29386	0.95144	0.19324
4.9054	0.21144	0.66423	0.35294
2.5954	0.64756	0.30225	0.8216
3.3787	0.28994	0.50815	0.72857
3.8545	0.25166	0.97052	0.69655
3.5233	0.26714	0.87055	0.41525
7.5663	0.29956	0.83322	0.62766
1.7237	0.61847	0.076202	0.81618
10.128	0.42389	0.86669	0.31324
7.3621	0.36918	0.84104	0.48129
6.4771	0.34845	0.54628	0.40587
1.6055	0.29909	0.50934	0.81967
8.8979	0.34107	0.8332	0.37485
4.2803	0.29618	0.8676	0.37714
0.85992	0.36856	0.11835	0.89189
3.3087	0.35993	0.7216	0.52766
1.4843	0.46588	0.17404	0.78261
4.3193	0.29573	0.64728	0.35092
8.6749	0.32549	1.8172	0.29254
10.293	0.44225	0.85957	0.4034
4.099	0.36551	0.47474	0.51485
9.1921	0.27165	1.0074	0.23529
11.216	0.43242	0.90553	0.29123
2.0497	0.43108	0.43869	0.7541
5.1144	0.4826	0.5005	0.62379
2.1266	0.23936	0.36646	0.55789
3.2417	0.29034	0.41901	0.72593
6.421	0.49059	0.79368	0.50696
3.0324	0.36105	0.65494	0.70807
5.7427	0.37796	0.79674	0.52681
4.0555	0.23682	1.1414	0.53191
4.5256	0.31408	0.69398	0.60408
2.9511	0.31567	0.56397	0.71324
2.0595	0.2658	0.4237	0.77027
3.4632	0.32723	0.54164	0.49789
2.2326	0.36995	0.6878	0.76786
4.9883	0.31768	0.57832	0.45961
2.3189	0.23607	0.64577	0.68675
3.1554	0.38655	0.35352	0.7697
3.3764	0.28729	0.93174	0.49754
4.6447	0.46731	1.033	0.58854
1.8826	0.27549	0.34511	0.78261
0.82091	0.72535	0.052873	0.88571
5.7759	0.41403	0.75286	0.5413
2.5853	0.18946	0.84816	0.58621
3.3643	0.35684	0.59697	0.66489
1.8319	0.30931	0.42927	0.85507
2.6724	0.32703	0.71178	0.76471
4.0689	0.29268	1.1557	0.44928
2.9959	0.30455	0.90581	0.63758
4.0326	0.31913	0.74601	0.64423
0.70383	0.70383	0.078369	0.86667
2.2661	0.28396	0.60736	0.58261
