Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.76031	0.37428	0.81897	0.68376
0.84767	0.32627	1.0051	0.55825
0.98937	0.30461	0.86146	0.30592
1.4458	0.29646	0.11867	0.8625
1.0458	0.3029	0.81598	0.38026
1.3329	0.25103	0.88281	0.64317
0.6345	0.39433	0.68795	0.65942
0.85846	0.32519	0.85111	0.33112
0.78028	0.34399	0.49508	0.71277
0.66404	0.31818	0.42464	0.80882
3.7167	0.25846	0.79884	0.38976
2.251	0.26167	0.95144	0.19324
0.92008	0.20215	0.66423	0.35294
1.5155	0.26547	0.50815	0.72857
1.9134	0.19539	0.97052	0.69655
1.2018	0.25214	0.87055	0.41525
1.1783	0.2933	0.83322	0.62766
1.5713	0.3825	0.076202	0.81618
1.7497	0.31713	0.86669	0.31324
1.3785	0.3143	0.54628	0.40587
0.58686	0.36347	0.50934	0.81967
0.80989	0.27392	0.8676	0.37714
0.62322	0.31967	0.11835	0.89189
0.73009	0.29151	0.17404	0.78261
1.2986	0.25483	0.64728	0.35092
2.0418	0.26583	0.47474	0.51485
1.469	0.26508	1.0074	0.23529
1.0261	0.39801	0.43869	0.7541
1.6109	0.2881	0.5005	0.62379
1.3937	0.22225	0.36646	0.55789
1.2864	0.24547	0.41901	0.72593
1.5043	0.33659	0.65494	0.70807
1.0116	0.24753	1.1414	0.53191
0.82439	0.30622	0.69398	0.60408
0.69524	0.35987	0.56397	0.71324
0.64719	0.32501	0.4237	0.77027
1.1161	0.30338	0.54164	0.49789
0.62769	0.45048	0.6878	0.76786
0.8121	0.24088	0.64577	0.68675
1.7413	0.33878	0.35352	0.7697
0.89178	0.30825	0.93174	0.49754
1.0773	0.22347	0.34511	0.78261
0.67991	0.34775	0.052873	0.88571
0.88897	0.16941	0.84816	0.58621
1.5734	0.41956	0.59697	0.66489
0.68718	0.37748	0.42927	0.85507
1.0116	0.34459	0.71178	0.76471
0.8823	0.31607	0.90581	0.63758
2.2919	0.23197	0.74601	0.64423
0.5471	0.5471	0.078369	0.86667
1.0514	0.21805	0.60736	0.58261
