Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.0419	0.21086	0.64214	0.3878
1.1478	0.2554	0.46218	0.70833
1.2644	0.20454	0.56844	0.63793
4.7603	0.32282	0.7677	0.43585
0.8554	0.37005	0.80775	0.37132
0.87708	0.41185	0.69883	0.38108
2.4808	0.35669	0.77224	0.43006
1.4242	0.26639	0.57462	0.23829
0.68548	0.37369	0.58623	0.71296
1.5749	0.30033	0.59014	0.50307
2.0591	0.37953	0.88777	0.469
0.93959	0.4333	0.43015	0.74
0.90626	0.42441	0.58526	0.38966
0.88737	0.29836	0.40343	0.58025
0.67066	0.45061	0.76329	0.25754
1.5263	0.24303	0.76406	0.2478
1.2642	0.21556	0.32099	0.70667
1.7408	0.34669	0.30333	0.71429
2.3167	0.22336	0.43172	0.62411
1.3009	0.33262	0.66619	0.77444
0.6073	0.5379	0.6929	0.35383
1.2216	0.24988	0.46505	0.52778
0.87399	0.21606	0.70503	0.67568
1.0863	0.22098	0.049193	0.80556
2.0855	0.31012	0.54633	0.55
0.60322	0.51328	0.51702	0.73099
1.0129	0.37185	0.45188	0.8587
0.72203	0.38596	0.44096	0.69286
1.2263	0.20854	0.6085	0.59794
0.98777	0.56987	0.63771	0.65327
0.93846	0.26816	0.54972	0.59259
1.0652	0.25495	0.64037	0.35427
1.8409	0.19468	0.66733	0.62406
4.236	0.26006	0.87889	0.33431
1.329	0.22968	0.46608	0.60638
2.3249	0.27367	0.79327	0.47887
4.1024	0.2196	0.72615	0.32405
1.2451	0.23387	0.46195	0.72642
0.76735	0.27483	0.70931	0.54198
1.8389	0.19885	0.62476	0.49635
1.0082	0.39662	0.66637	0.65877
1.3801	0.38227	0.33753	0.7541
1.2045	0.27006	0.55239	0.61745
1.1104	0.22774	0.029534	0.81579
1.341	0.33667	0.64387	0.81757
0.874	0.24219	0.62843	0.67606
0.92889	0.21273	0.67791	0.54839
0.91657	0.29231	0.54646	0.61468
1.0948	0.37849	0.31994	0.78095
0.65121	0.36661	0.14828	0.85714
