Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
6.2526	0.27341	0.64214	0.3878
3.3648	0.49949	0.23506	0.71429
2.5344	0.25768	0.46218	0.70833
2.9697	0.23931	0.56844	0.63793
9.8782	0.41612	0.7677	0.43585
13.36	0.36015	0.99898	0.21688
5.9711	0.30399	0.80775	0.37132
7.8654	0.3541	0.69883	0.38108
5.5799	0.29604	1.0631	0.35537
9.7582	0.36711	1.0476	0.43322
5.055	0.39138	0.77224	0.43006
7.1703	0.30672	0.57462	0.23829
2.4442	0.30256	0.58623	0.71296
4.4018	0.39709	0.44428	0.51412
7.4763	0.31601	0.59014	0.50307
6.7939	0.41702	0.88777	0.469
4.6675	0.38066	0.43015	0.74
5.9785	0.36305	0.58526	0.38966
4.3837	0.30891	0.40343	0.58025
8.3036	0.34583	0.76329	0.25754
8.9122	0.33406	0.76406	0.2478
3.2972	0.30876	0.32099	0.70667
4.3559	0.42553	0.4396	0.53315
6.8272	0.3756	0.72786	0.38528
2.4485	0.49029	0.30333	0.71429
5.7705	0.43938	0.43172	0.62411
2.8553	0.34645	0.66619	0.77444
7.0744	0.38284	0.6929	0.35383
4.167	0.26275	0.46505	0.52778
2.2841	0.21024	0.70503	0.67568
1.2011	0.23189	0.049193	0.80556
3.6375	0.30627	0.82465	0.41281
5.5248	0.49543	0.72863	0.5534
2.1796	0.33047	0.46539	0.53957
5.449	0.26086	0.95577	0.28906
3.1782	0.36564	0.54633	0.55
3.1883	0.37653	0.51702	0.73099
2.0673	0.36701	0.45188	0.8587
2.9268	0.31829	0.44096	0.69286
2.4434	0.22798	0.6085	0.59794
2.6883	0.46442	0.63771	0.65327
2.2211	0.27673	0.54972	0.59259
5.7515	0.41579	1.0726	0.41431
5.1208	0.26444	0.64037	0.35427
3.8429	0.20743	0.66733	0.62406
1.8207	0.34814	0.35433	0.58929
7.1657	0.30692	0.87889	0.33431
2.1861	0.31632	0.50918	0.58065
3.8148	0.287	0.46608	0.60638
5.7625	0.34	0.79327	0.47887
7.2491	0.29279	0.72615	0.32405
2.6309	0.28108	0.46195	0.72642
2.6588	0.25646	0.70931	0.54198
7.0013	0.42798	1.0383	0.41053
3.2967	0.1981	0.62476	0.49635
3.6737	0.36338	0.66637	0.65877
2.2802	0.38749	0.33753	0.7541
3.0458	0.29009	0.55239	0.61745
1.1695	0.25458	0.029534	0.81579
3.2726	0.3551	0.64387	0.81757
2.0894	0.39071	0.30732	0.69672
1.894	0.69471	0.19227	0.76966
2.1309	0.21634	0.62843	0.67606
2.2847	0.21438	0.67791	0.54839
2.0095	0.32021	0.54646	0.61468
1.7347	0.45399	0.31994	0.78095
0.94776	0.3648	0.14828	0.85714
