Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
8.8784	0.55601	0.765	0.46432
6.3496	0.35998	0.64707	0.39016
7.6404	0.27026	0.68936	0.33026
6.3358	0.31378	0.86602	0.48936
7.4203	0.57337	0.81882	0.52927
2.0845	0.29027	0.41589	0.76829
7.9676	0.34594	0.67185	0.3583
3.4345	0.51173	0.32809	0.54303
1.642	0.6083	0.054246	0.90435
13.307	0.35076	0.80951	0.23604
3.1735	0.23908	0.67426	0.62698
2.8365	0.27087	0.57494	0.47904
7.7857	0.4046	1.0219	0.3378
4.5143	0.42549	0.58738	0.53191
2.1953	0.47685	0.2875	0.79562
1.6854	0.26212	0.3924	0.73016
2.6125	0.37498	0.53826	0.6
2.4191	0.22233	0.73945	0.7
1.5256	0.41548	0.42978	0.70968
2.6877	0.3609	0.54027	0.58382
3.7249	0.44863	0.68964	0.62366
1.8555	0.4503	0.37048	0.80556
1.7108	0.4098	0.4003	0.68868
2.7449	0.21693	0.64025	0.7561
1.1731	0.5731	0.13985	0.89744
2.4093	0.13553	0.51291	0.61818
2.7781	0.44596	0.44374	0.58108
3.4172	0.3766	0.58069	0.61187
2.3046	0.22087	0.61847	0.75714
3.9758	0.67878	0.42806	0.67548
3.6438	0.5456	0.40928	0.64486
3.6805	0.21919	0.82443	0.60432
3.078	0.39003	0.59631	0.67204
3.1275	0.25795	0.70261	0.81553
2.6855	0.20385	0.69786	0.64045
2.4289	0.32423	0.57757	0.77358
0.89254	0.89254	0.054311	0.89796
4.4999	0.34148	0.85457	0.64516
3.2174	0.28059	0.76701	0.54651
