Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.8594	0.25309	0.41365	0.83051
4.3385	0.34091	0.6851	0.47678
9.4196	0.32627	0.7677	0.31621
3.386	0.64103	0.098357	0.76351
7.4185	0.55927	0.42465	0.49827
10.327	0.42595	0.65296	0.54009
7.1234	0.44762	0.56909	0.49185
5.5018	0.28628	0.7683	0.48955
7.6702	0.37188	0.70843	0.31329
7.163	0.38212	0.6185	0.43578
7.8729	0.50381	0.64908	0.40932
5.9215	0.48332	0.46714	0.54579
6.0975	0.42212	0.56973	0.48816
1.3492	0.52677	0.025555	0.91358
8.2978	0.40162	0.636	0.49785
9.1678	0.33732	0.70319	0.46132
5.7619	0.40837	0.38641	0.63144
10.622	0.39059	0.72639	0.27359
5.2139	0.38314	0.51117	0.49524
12.115	0.35833	0.9499	0.27098
6.0013	0.39368	0.50633	0.60442
7.0828	0.40001	0.60335	0.38714
6.1897	0.23895	0.65056	0.37745
14.92	0.41326	0.85761	0.21493
2.261	0.30583	0.30381	0.72727
1.9844	0.33394	0.49753	0.81176
7.5437	0.27372	0.70873	0.41031
6.2194	0.39531	0.64106	0.74636
7.5792	0.40549	0.57147	0.38601
3.8826	0.31167	0.42638	0.42424
2.1202	0.22196	0.44632	0.56322
16.302	0.59854	1.0476	0.27144
2.2176	0.36812	0.4993	0.80189
8.2853	0.38252	0.88118	0.39007
6.7079	0.5412	0.61775	0.78586
5.4065	0.41035	0.31815	0.76238
3.0154	0.39494	0.55531	0.76543
2.3268	0.28068	0.69836	0.64762
4.7641	0.35278	0.2315	0.53354
4.1237	0.39826	0.81186	0.60424
1.5237	0.27103	0.26525	0.7963
1.8815	0.40325	0.2035	0.66949
4.0275	0.30046	0.72867	0.51852
6.0635	0.32945	0.91548	0.46018
4.0881	0.23492	0.68202	0.70922
2.9396	0.32017	0.54357	0.4537
4.1087	0.34594	0.62613	0.49498
1.5773	0.3897	0.19611	0.71111
2.9915	0.33068	0.41519	0.68212
2.6615	0.15877	0.70162	0.53659
