Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.2016	0.90593	0.23694	0.82289
4.1766	0.32882	0.69628	0.42687
5.8323	0.27994	1.0877	0.37199
6.1205	0.25106	0.8085	0.23358
1.6159	1.6159	0.030614	0.93694
9.1759	0.35168	0.78548	0.34964
6.7498	0.34149	0.55844	0.27057
8.6454	0.32105	0.77946	0.34201
3.1598	0.617	0.24963	0.70979
9.3761	0.33597	0.75347	0.20932
5.2849	0.31075	0.85119	0.40426
9.8927	0.34658	0.89375	0.39978
2.8339	0.25079	0.30394	0.58268
8.5335	0.38715	0.7961	0.38137
7.1845	0.35959	0.61129	0.28109
3.3818	0.30103	0.76415	0.50476
14.245	0.43891	1.0922	0.30111
8.0798	0.3352	0.74067	0.49912
5.0631	0.39834	0.75421	0.47727
5.6274	0.32426	0.91864	0.54755
9.1052	0.30694	0.78632	0.25065
3.8603	0.32592	0.98651	0.54812
4.9394	0.32471	0.52723	0.32177
3.3177	0.26053	0.61372	0.44335
3.8264	0.28111	0.46077	0.39024
7.5875	0.39492	1.0422	0.35495
3.4921	0.22277	0.81355	0.52597
5.9357	0.75884	0.27039	0.61227
5.7533	0.34387	0.78573	0.47796
5.5465	0.28571	0.8502	0.46348
4.2897	0.33806	0.61965	0.49186
6.7304	0.34104	0.69388	0.45351
7.1998	0.4402	0.58627	0.32101
7.504	0.43131	0.76281	0.33202
9.134	0.30703	0.85443	0.37677
12.015	0.40207	1.4908	0.31203
4.5447	0.3846	0.86603	0.44938
4.4695	0.2686	0.77714	0.52301
4.1065	0.28065	0.45635	0.42705
2.4965	0.35392	0.34348	0.78632
3.6554	0.30215	0.44145	0.55288
5.2917	0.26861	0.71214	0.61667
3.8161	0.35989	0.69144	0.45981
7.275	0.35776	0.84773	0.39275
4.9281	0.53983	0.59002	0.62247
2.0924	0.28916	0.41695	0.63636
5.8636	0.33413	0.7949	0.43683
8.1977	0.31515	1.3181	0.31948
5.0732	0.25935	0.84006	0.40653
8.0821	0.31609	0.92819	0.28089
4.7885	0.29282	0.69001	0.46497
4.671	0.32075	0.84668	0.64198
3.1092	0.2502	0.71026	0.53289
7.0332	0.30041	0.72837	0.23454
2.9138	0.3395	0.62042	0.58857
4.6776	0.37984	0.65649	0.52557
2.9133	0.3857	0.73145	0.81818
3.4302	0.32478	0.67942	0.45136
