Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.4484	0.84386	0.25464	0.81452
5.7172	0.31245	0.88192	0.39744
6.5862	0.22748	0.86921	0.22096
5.8769	0.28925	0.81804	0.41745
1.6299	1.6299	0.019877	0.94753
9.6069	0.3329	0.81703	0.35501
7.1501	0.30894	0.59293	0.26437
4.0303	0.21447	0.69373	0.54545
9.1466	0.3003	0.82134	0.34963
3.1258	0.95862	0.15019	0.77228
9.7566	0.32386	0.7806	0.21036
6.6426	0.31664	0.66093	0.58871
12.553	0.34964	1.0205	0.28652
5.5551	0.29045	0.88564	0.40288
10.357	0.32364	0.92932	0.39886
9.0942	0.35272	0.88329	0.37029
7.5779	0.33458	0.6381	0.27848
3.6497	0.28419	0.81666	0.50943
15.023	0.41553	1.1465	0.29803
8.4316	0.30754	0.76392	0.52023
5.5245	0.36159	0.82442	0.47166
6.0838	0.2952	0.98595	0.50678
9.6462	0.28375	0.82825	0.24978
3.051	0.26127	0.7894	0.69167
5.2911	0.29405	0.56465	0.31335
3.7444	0.25393	0.61183	0.42672
4.0378	0.26639	0.48839	0.38889
6.7217	0.39292	0.83112	0.40029
5.9042	0.25213	0.55255	0.3726
3.0654	0.21618	0.35206	0.62727
6.4112	0.28762	1.3216	0.39506
6.0748	0.33991	0.81964	0.49654
8.4782	0.38855	0.70895	0.29518
5.6562	0.27337	0.86378	0.46398
5.5287	0.2762	0.81907	0.53356
7.0916	0.33586	0.72254	0.46269
5.4511	0.30832	0.57697	0.49575
8.0274	0.39481	0.81175	0.32353
12.823	0.40071	1.535	0.35477
6.5845	0.24796	0.77785	0.65385
4.3424	0.32512	0.65675	0.47727
3.9049	0.26562	0.48825	0.52427
4.8939	0.52397	0.31884	0.72554
4.679	0.34689	0.77606	0.4543
5.1518	0.51452	0.57662	0.63158
6.3371	0.2637	0.93811	0.38496
7.1177	0.26717	0.98834	0.34859
9.0374	0.29755	1.0356	0.27586
7.9503	0.3165	1.2341	0.34933
8.1965	0.44057	1.1726	0.43169
4.3056	0.22529	0.82663	0.58721
3.4559	0.28902	0.98194	0.66667
4.0357	0.31888	0.50313	0.61187
2.899	0.29153	0.7371	0.56051
3.5605	0.21309	0.71455	0.50641
4.3151	0.37614	0.53041	0.61905
3.0456	0.36264	0.72038	0.8042
4.0758	0.41943	0.20199	0.59333
3.6657	0.30392	0.72471	0.43774
