Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.4943	0.21068	0.46914	0.40394
3.906	0.30735	0.76867	0.46447
0.85407	0.29987	0.59451	0.72903
0.74567	0.28861	0.36518	0.76471
0.86155	0.44882	0.68972	0.73846
4.1757	0.27447	0.7535	0.56216
1.2071	0.23912	0.20426	0.68056
1.3727	0.29937	0.85708	0.26715
1.0346	0.27146	0.77719	0.30251
1.4171	0.30423	0.37978	0.75455
1.0316	0.32853	0.77284	0.71942
1.1316	0.27065	0.57795	0.62931
1.4726	0.25113	0.72122	0.21522
2.5341	0.22527	0.64488	0.4248
2.1598	0.25146	0.91528	0.17033
0.978	0.43493	0.13144	0.89231
1.531	0.19761	0.36341	0.4898
2.3049	0.30552	0.74253	0.54839
0.86479	0.28056	0.8316	0.71552
0.96823	0.32759	0.57038	0.79452
0.62781	0.50779	0.048159	0.93651
0.64012	0.4401	0.61962	0.71023
1.6824	0.20322	0.55355	0.49393
1.091	0.21828	0.43587	0.55769
0.71023	0.39483	0.29383	0.72072
1.8361	0.24468	0.88999	0.48636
2.3761	0.20535	0.21983	0.56716
2.3094	0.21968	0.7699	0.33594
2.1341	0.17734	0.56711	0.4698
2.7282	0.26525	0.90937	0.33377
0.9784	0.26396	0.36614	0.80882
0.63815	0.26927	0.78108	0.53125
1.8324	0.26382	0.60051	0.42444
0.59949	0.33697	0.71764	0.61702
1.0479	0.17938	0.31602	0.8
0.79817	0.22837	0.72235	0.74627
0.62315	0.46393	1.0173	0.75188
2.0775	0.17939	1.2667	0.37131
0.94331	0.38713	0.56735	0.75281
