Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.77466	0.5083	3.3307e-17	0.87234
0.80608	0.26212	5.5511e-17	0.81481
0.51668	0.51668	3.3307e-17	0.91429
1.1175	0.63598	2.2204e-17	0.86047
1.5332	0.43223	4.4409e-17	0.90789
1.9648	0.43504	0	0.65926
1.3526	0.41184	1.1102e-16	0.87879
0.60138	0.60138	3.3307e-17	0.92857
1.2968	0.31844	4.4409e-17	0.70492
1.6696	0.37964	8.8818e-17	0.83544
0.72068	0.27985	0	0.77778
0.5025	0.5025	2.2204e-17	0.91429
0.63137	0.63137	0	0.95833
3.1339	0.22064	1.3323e-16	0.4586
5.2958	0.36451	1.7764e-16	0.60542
0.94092	0.55118	6.6613e-17	0.94737
1.0817	0.42617	6.6613e-17	0.82759
1.5534	0.23494	4.4409e-17	0.73077
1.8617	0.36627	6.6613e-17	0.78022
2.9858	0.30879	1.3323e-16	0.71111
1.2673	0.46229	0	0.81333
1.3598	0.35314	2.2204e-17	0.78125
1.3442	0.46442	8.8818e-17	0.71429
0.55336	0.55336	0	0.86486
0.60707	0.36387	1.1102e-17	0.88462
3.7847	0.44154	2.2204e-16	0.55591
1.4551	0.34981	8.8818e-17	0.76812
2.6301	0.31404	0	0.78182
0.949	0.33396	3.3307e-17	0.86842
0.74653	0.72043	3.3307e-17	0.93333
2.8206	0.37795	8.8818e-17	0.64162
0.91741	0.49202	3.3307e-17	0.90385
1.4301	0.4701	6.6613e-17	0.875
0.99759	0.34658	3.3307e-17	0.81818
1.0458	0.64284	6.6613e-17	0.875
1.0468	0.31192	0	0.87179
1.1672	0.45256	4.4409e-17	0.84615
2.5956	0.39221	0	0.64634
2.1739	0.34017	1.3323e-16	0.61111
0.72836	0.21097	0	0.7619
