Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
4.0836	0.35983	0.67151	0.47368
8.8003	0.34922	0.72034	0.31621
3.0871	0.70309	0.076802	0.76351
6.932	0.59852	0.39828	0.49827
9.6538	0.45564	0.61275	0.54009
6.646	0.47977	0.53686	0.49185
5.2201	0.30173	0.73719	0.48955
7.1537	0.39873	0.672	0.31329
6.6911	0.40907	0.58134	0.43578
7.4142	0.53498	0.61807	0.40932
5.5469	0.51597	0.44078	0.54579
4.2946	0.46291	0.4888	0.51111
1.1979	0.59328	0.02507	0.91358
7.7591	0.42951	0.59888	0.49785
8.7245	0.35446	0.67265	0.46132
5.4421	0.43237	0.36977	0.63144
10.067	0.41212	0.6919	0.27359
4.9316	0.40507	0.4901	0.49524
11.516	0.37695	0.90791	0.27098
5.6342	0.41933	0.4812	0.60442
6.6342	0.42705	0.57178	0.38714
5.7688	0.25638	0.61043	0.37745
14.074	0.43808	0.81138	0.21493
2.1011	0.32911	0.28625	0.72727
7.0771	0.29177	0.66952	0.41031
5.8405	0.42096	0.62049	0.74636
7.0773	0.43425	0.53625	0.38601
3.6062	0.33556	0.40001	0.42424
1.9977	0.23557	0.42669	0.56322
15.487	0.63998	0.96599	0.26917
7.7746	0.40765	0.82751	0.39007
4.9981	0.44387	0.2857	0.76238
6.3559	0.57117	0.57755	0.78586
2.7492	0.43318	0.52765	0.76543
4.4379	0.37871	0.21088	0.53354
3.8307	0.42872	0.76305	0.60424
3.4543	0.31974	0.67015	0.54762
5.6263	0.35505	0.85122	0.46018
3.814	0.25181	0.64409	0.70922
2.7144	0.34673	0.5104	0.4537
2.7952	0.3539	0.39414	0.68212
1.365	0.32366	0.18411	0.61333
