Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.837	0.30441	0.72034	0.31621
2.8311	0.48191	0.076802	0.76351
3.7306	0.33138	0.61275	0.54009
1.4564	0.49096	0.53686	0.49185
1.5342	0.26605	0.73719	0.48955
0.65773	0.49198	0.672	0.31329
1.4395	0.48856	0.61807	0.40932
0.54714	0.54714	0.4888	0.51111
0.95558	0.42191	0.02507	0.91358
1.97	0.34451	0.59888	0.49785
2.2221	0.2697	0.67265	0.46132
1.8677	0.41273	0.36977	0.63144
3.379	0.36495	0.6919	0.27359
1.3375	0.38043	0.4901	0.49524
0.98261	0.42873	0.4812	0.60442
1.107	0.42609	0.57178	0.38714
1.0888	0.24718	0.61043	0.37745
1.4332	0.22654	0.28625	0.72727
1.0514	0.28005	0.66952	0.41031
0.66977	0.61088	0.62049	0.74636
2.251	0.37477	0.53625	0.38601
1.0021	0.19226	0.42669	0.56322
2.8096	0.30923	0.82751	0.39007
2.9982	0.27495	0.2857	0.76238
4.8158	0.44725	0.57755	0.78586
0.99033	0.47343	0.52765	0.76543
2.0503	0.42985	0.76305	0.60424
0.77368	0.33746	0.67015	0.54762
3.6401	0.32854	0.85122	0.46018
1.4524	0.24262	0.64409	0.70922
1.0131	0.3118	0.5104	0.4537
1.8755	0.30059	0.39414	0.68212
0.9354	0.29972	0.18411	0.61333
