Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
6.0989	0.34486	0.91202	0.37889
8.8747	0.35063	0.79208	0.44875
14.512	0.3792	1.2614	0.25951
2.9029	0.47641	0.10493	0.73469
6.377	0.30272	0.63803	0.56941
7.9217	0.41706	0.7138	0.42417
6.801	0.65665	0.41545	0.49154
3.4761	0.1934	0.50106	0.58824
4.3673	0.34086	0.51921	0.70455
9.0724	0.35357	0.68405	0.25457
2.9561	0.80572	0.040624	0.7678
2.8975	0.21876	0.53165	0.52381
5.3696	0.31479	0.52179	0.52226
7.096	0.33971	0.71938	0.2922
2.1963	0.20552	0.29459	0.60256
7.7496	0.33337	0.73784	0.29922
5.911	0.63528	0.36914	0.58358
11.447	0.4279	1.1022	0.31776
2.649	0.33354	0.6418	0.52571
6.0023	0.48322	0.30623	0.51536
3.9334	0.28812	0.49966	0.76129
9.9661	0.44618	0.5815	0.2714
1.6999	0.38417	0.15591	0.87179
5.1119	0.35321	0.47758	0.37154
3.2348	0.46019	0.66154	0.56569
5.4852	0.40095	0.55225	0.40459
3.0284	0.34568	0.41707	0.57672
10.77	0.35313	1.5187	0.23446
2.0883	0.4461	0.34133	0.79508
4.9742	0.44022	0.37623	0.44444
3.2833	0.33346	0.68562	0.68263
0.87519	0.46089	0.13829	0.91304
3.8563	0.35614	0.57645	0.62719
5.2602	0.31221	0.99784	0.44186
3.9029	0.40602	0.54193	0.56897
1.2187	0.34674	0.12041	0.67692
