Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.8428	0.31027	0.91202	0.37889
0.9539	0.37968	0.79208	0.44875
1.8536	0.29208	0.10493	0.73469
1.2727	0.28107	0.63803	0.56941
6.2561	0.33958	0.7138	0.42417
2.14	0.19129	0.50106	0.58824
1.4251	0.32459	0.51921	0.70455
2.2318	0.2498	0.68405	0.25457
1.3026	0.21011	0.53165	0.52381
1.891	0.29619	0.52179	0.52226
2.3002	0.24992	0.71938	0.2922
1.6071	0.15706	0.29459	0.60256
2.3387	0.23848	0.73784	0.29922
1.7682	0.20635	0.49966	0.76129
6.0895	0.23503	0.5815	0.2714
1.2322	0.23442	0.15591	0.87179
2.724	0.22986	0.47758	0.37154
2.3558	0.35147	0.55225	0.40459
0.943	0.32856	0.41707	0.57672
0.60917	0.56067	0.34133	0.79508
3.8455	0.28907	0.37623	0.44444
1.912	0.27733	0.68562	0.68263
0.59861	0.47805	0.13829	0.91304
2.3191	0.30552	0.57645	0.62719
2.9319	0.21128	0.99784	0.44186
2.819	0.27592	0.54193	0.56897
0.97788	0.24007	0.12041	0.67692
