Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.79659	0.2773	1.1102e-17	0.82143
1.347	0.19251	1.1102e-16	0.72973
2.2186	0.25541	1.7764e-16	0.57843
0.77228	0.34821	0	0.84848
1.0375	0.13885	2.2204e-17	0.78947
0.68164	0.49313	0	0.89744
3.6177	0.44599	1.7764e-16	0.64122
0.50634	0.50634	3.3307e-17	0.93939
0.59678	0.25749	0	0.84211
1.0396	0.42495	6.6613e-17	0.92
0.66777	0.56091	2.2204e-17	0.92857
1.8388	0.21936	1.1102e-16	0.58333
0.93907	0.46022	2.2204e-17	0.78947
0.67297	0.28542	0	0.8
1.2	0.42416	0	0.81538
0.99166	0.30023	2.2204e-17	0.88571
0.71343	0.33654	0	0.86207
0.72267	0.34553	1.1102e-17	0.86667
3.6513	0.36824	0	0.56452
1.8061	0.35628	1.3323e-16	0.69792
0.79621	0.3498	0	0.74359
2.3532	0.34282	0	0.72414
6.2405	0.23239	0	0.39426
1.1204	0.29145	0	0.73913
2.36	0.42323	0	0.77037
0.61221	0.20394	4.4409e-17	0.8125
3.0223	0.30188	8.8818e-17	0.55556
0.5572	0.5572	0	0.87805
