Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
12.109	0.41165	0.92051	0.21517
2.9222	0.35495	0.60129	0.76056
3.9299	0.34214	0.66434	0.50725
3.3135	0.23768	0.83155	0.61654
5.428	0.23355	0.95164	0.37079
2.8243	0.20403	0.91224	0.39474
5.9246	0.27882	0.69969	0.29402
3.7851	0.33492	0.56693	0.43564
1.6091	0.4357	0.30642	0.76842
9.4371	0.32871	0.86947	0.29498
13.262	0.40914	0.92729	0.30085
3.4217	0.21332	1.0351	0.50331
6.8919	0.43199	0.85517	0.37485
4.989	0.32533	0.92563	0.35881
2.542	0.57427	0.31736	0.72381
5.3259	0.32639	0.72859	0.42191
1.5497	0.33466	0.26228	0.66667
2.2934	0.25964	0.61837	0.76543
1.8997	0.19211	0.31816	0.88372
2.1869	0.28546	0.64581	0.67708
2.7076	0.22346	0.69497	0.68478
6.4526	0.41824	0.68093	0.40548
7.6978	0.30567	0.8162	0.27684
6.1955	0.4294	1.0073	0.50733
5.0555	0.29446	0.76392	0.50987
1.4009	0.99403	0.076896	0.85294
2.1036	0.22371	0.61995	0.52688
6.6775	0.38546	0.88331	0.32289
1.7149	0.33603	0.27617	0.61856
4.9923	0.63484	0.4587	0.64833
1.5002	0.53775	0.14533	0.81553
5.1657	0.32536	0.73332	0.38889
3.5885	0.3613	0.73419	0.64286
3.0356	0.25943	0.78132	0.58156
1.7674	0.32603	0.35627	0.74074
16.78	0.2982	4.2291	0.25678
2.7907	0.25466	0.77466	0.55224
4.5654	0.45229	0.68722	0.65951
4.7892	0.28275	0.78061	0.54231
2.792	0.21327	0.74754	0.48819
4.6197	0.2765	0.79967	0.57082
3.995	0.36541	0.68484	0.50331
2.9907	0.38536	0.55243	0.53097
1.0251	0.58086	0.06086	0.83784
1.4559	0.60029	0.30046	0.86667
3.0623	0.17876	0.6796	0.72152
3.1988	0.41433	0.38907	0.63594
