Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
4.9578	0.32738	0.43205	0.40334
5.6178	0.38294	0.84594	0.49339
6.1203	0.42683	0.72258	0.46102
3.6712	0.29823	0.58223	0.67059
2.497	0.32308	0.36297	0.76364
6.6421	0.48438	0.91451	0.4345
2.2897	0.40266	0.69082	0.73846
7.9731	0.37341	0.74965	0.52453
2.6379	0.34588	0.16559	0.71429
8.5239	0.33351	0.80901	0.27715
9.9738	0.34569	0.68689	0.30092
9.5512	0.52589	0.56966	0.3344
4.9153	0.27746	0.73107	0.40113
2.2386	0.36466	0.36567	0.78704
2.6253	0.35851	0.76424	0.72059
2.3666	0.28813	0.56047	0.62281
8.1152	0.30297	0.67467	0.223
10.631	0.32523	0.86545	0.17241
6.2862	0.30861	0.83311	0.38113
5.3438	0.33248	0.6471	0.5873
4.0409	0.23767	0.69819	0.28736
1.1091	0.49357	0.15871	0.87692
9.2084	0.47246	0.64511	0.42979
8.6352	0.37147	0.71844	0.54664
2.3584	0.18325	0.67149	0.72581
2.5063	0.27973	0.35461	0.52899
1.4831	0.22018	0.33403	0.73913
11.558	0.39885	0.84176	0.24427
2.5982	0.35486	0.47334	0.768
3.0848	0.26775	0.78601	0.40758
3.8969	0.29328	0.67273	0.43911
6.0795	0.37598	0.84863	0.36336
3.3436	0.35904	0.53204	0.51867
2.5105	0.23336	0.87501	0.72619
2.1316	0.22077	0.36082	0.56977
8.3164	0.40996	0.94558	0.27997
5.3049	0.2607	0.50119	0.46006
2.5857	0.36772	0.42274	0.70213
4.797	0.28229	0.88269	0.31685
3.6267	0.22509	0.53629	0.4067
5.6665	0.5932	0.53852	0.50432
12.168	0.43491	1.3424	0.29262
1.8585	0.29455	0.55667	0.62637
1.5563	0.33941	0.33004	0.77465
3.5525	0.2325	0.48747	0.56209
3.8767	0.33692	0.56834	0.443
1.4768	0.22761	0.24502	0.81395
1.4459	1.0362	0.10806	0.85246
2.2406	0.30433	0.35763	0.74737
3.4787	0.20982	0.73627	0.4153
1.8964	0.33932	0.54143	0.79762
