Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.9893	0.28724	0.96322	0.37889
1.0878	0.33241	0.8424	0.44875
1.9874	0.2723	0.11297	0.73469
1.3921	0.2568	0.67278	0.56941
6.644	0.31976	0.75091	0.42417
2.2624	0.18077	0.52654	0.58824
1.5453	0.29929	0.54345	0.70455
2.3911	0.23317	0.72835	0.25457
1.4143	0.19278	0.56045	0.52381
1.8635	0.2687	0.58007	0.4898
2.4606	0.23367	0.75529	0.2922
0.60798	0.40537	0.69671	0.70968
1.6902	0.14939	0.32129	0.60256
2.5137	0.22162	0.78218	0.29922
1.855	0.19657	0.52079	0.76129
1.329	0.21605	0.16407	0.87179
2.9128	0.21433	0.50742	0.37154
1.0724	0.2882	0.43673	0.57672
0.76874	0.46935	0.3521	0.79508
4.1112	0.27032	0.40618	0.44444
2.1005	0.25235	0.74115	0.68263
0.75758	0.38035	0.076171	0.92857
0.76764	0.38133	0.29799	0.89394
2.485	0.28504	0.60112	0.62719
3.1195	0.19844	1.0589	0.44186
3.0142	0.25722	0.58863	0.56897
1.0798	0.2127	0.13061	0.67692
