Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.7326	0.30225	0.97213	0.61871
6.0535	0.33635	0.81925	0.30592
8.1665	0.38691	0.98142	0.36637
1.5053	0.44022	0.098888	0.8625
7.9336	0.31717	0.77838	0.38026
3.9146	0.31648	0.49088	0.47778
4.9456	0.27381	0.84383	0.65888
2.7599	0.38278	0.67597	0.53659
9.5557	0.34876	1.1618	0.33301
9.3532	0.33885	0.77771	0.40342
4.9892	0.33687	0.76258	0.38976
11.134	0.31052	0.90332	0.19324
4.1455	0.22009	0.61676	0.40773
2.3518	0.71463	0.28369	0.8216
3.1367	0.31231	0.47836	0.72857
3.6758	0.26389	0.9351	0.69655
7.2164	0.31408	0.79929	0.62766
1.4834	0.71864	0.040133	0.81618
9.4987	0.45196	0.81707	0.31324
4.5387	0.42956	0.72815	0.725
6.0712	0.37175	0.51582	0.40587
1.8798	0.36273	0.49032	0.71
8.3327	0.36421	0.78532	0.37485
3.6249	0.31528	0.86372	0.41754
3.0751	0.38728	0.68467	0.52766
4.0656	0.31418	0.61818	0.35092
8.212	0.34384	1.7388	0.29254
9.6801	0.47027	0.8093	0.4034
3.832	0.39098	0.44552	0.51485
10.571	0.45882	0.85935	0.29123
8.2852	0.28284	0.94242	0.23712
1.8425	0.47956	0.43051	0.7541
4.7551	0.51906	0.46872	0.62379
1.9887	0.25595	0.3565	0.55789
4.2808	0.32755	0.81808	0.44109
3.0031	0.31341	0.39144	0.72593
4.4131	0.44613	0.93924	0.63272
2.8119	0.3757	0.66723	0.6962
5.4191	0.40053	0.76313	0.52681
3.5974	0.24828	1.1272	0.57764
4.2174	0.33703	0.65901	0.60408
2.6734	0.31973	0.76355	0.57051
4.7043	0.33686	0.55344	0.45961
2.9217	0.41747	0.33362	0.7697
2.0567	0.25684	0.6424	0.74324
1.7129	0.30277	0.32134	0.78261
4.808	0.41348	1.0646	0.54762
5.4303	0.44038	0.71182	0.5413
1.3677	0.42834	0.34541	0.83562
2.4163	0.2027	0.79812	0.58621
4.1298	0.4	1.3495	0.47911
2.4816	0.35217	0.68579	0.76471
3.8024	0.31319	1.0942	0.44928
2.774	0.3289	0.86674	0.63758
3.8135	0.33747	0.71198	0.64423
2.1236	0.30301	0.58199	0.58261
2.0692	0.4595	0.45293	0.71739
