Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.91025	0.24267	4.4409e-17	0.7931
0.5122	0.28126	0	0.75
3.8255	0.39917	2.2204e-16	0.70667
0.79075	0.52225	1.1102e-17	0.97727
0.57604	0.57604	3.3307e-17	0.88636
1.018	0.40569	4.4409e-17	0.97727
2.1392	0.40405	1.3323e-16	0.64286
6.5214	0.42119	3.5527e-16	0.52477
0.57362	0.57362	0	0.86364
5.9194	0.33747	0	0.31611
1.1381	0.31222	2.2204e-17	0.88095
1.9448	0.26173	4.4409e-17	0.54082
1.3472	0.46336	6.6613e-17	0.86667
2.9661	0.41122	1.7764e-16	0.55459
0.50291	0.50291	2.2204e-17	0.96875
6.2886	0.33293	2.6645e-16	0.31778
1.2855	0.44078	2.2204e-17	0.83099
1.4148	0.44124	0	0.87838
1.2256	0.59556	6.6613e-17	0.82609
0.53248	0.53248	3.3307e-17	0.86111
1.74	0.33117	0	0.77922
2.931	0.38993	1.3323e-16	0.58049
0.71892	0.42749	1.1102e-17	0.91429
0.54105	0.28401	2.2204e-17	0.88889
2.2475	0.33759	0	0.69298
1.435	0.40156	2.2204e-17	0.84507
1.4466	0.35187	2.2204e-17	0.67949
5.8354	0.24523	2.6645e-16	0.44611
0.73632	0.20869	2.2204e-17	0.72727
4.1682	0.31336	1.7764e-16	0.38746
1.5678	0.3798	0	0.81579
1.4245	0.209	6.6613e-17	0.54386
3.4567	0.31118	2.2204e-16	0.46862
1.9547	0.37341	6.6613e-17	0.6129
1.9072	0.33739	6.6613e-17	0.88158
