Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.0671	0.29434	0	0.77049
0.94398	0.43748	6.6613e-17	0.7963
1.362	0.21154	2.2204e-17	0.625
6.8003	0.33471	2.6645e-16	0.33617
1.2909	0.42407	4.4409e-17	0.80282
0.64315	0.50772	3.3307e-17	0.80952
1.2025	0.25558	2.2204e-17	0.8
0.55187	0.26104	1.1102e-17	0.71429
3.6189	0.26008	1.7764e-16	0.59756
1.0497	0.20129	6.6613e-17	0.6875
4.3779	0.24789	3.5527e-16	0.35423
0.52053	0.52053	3.3307e-17	1
3.8051	0.24735	0	0.41702
2.8748	0.41092	4.4409e-17	0.66129
2.1376	0.26508	0	0.56731
0.50027	0.50027	2.2204e-17	0.9
10.147	0.36818	0	0.2602
2.0857	0.24405	0	0.57609
2.9916	0.25362	1.3323e-16	0.54483
0.92464	0.49856	0	0.88889
0.6188	0.6188	2.2204e-17	0.91489
4.6682	0.30243	8.8818e-17	0.60246
6.9742	0.24237	2.6645e-16	0.27414
1.7113	0.29744	1.1102e-16	0.53
2.5636	0.44206	8.8818e-17	0.62105
0.57301	0.57301	2.2204e-17	0.90698
0.94771	0.43576	4.4409e-17	0.91489
1.0415	0.26741	4.4409e-17	0.82857
1.1964	0.3532	0	0.81481
1.1861	0.43723	0	0.87097
1.1604	0.26486	8.8818e-17	0.82051
0.72836	0.21097	0	0.7619
1.3187	0.24763	8.8818e-17	0.80952
2.5332	0.26539	8.8818e-17	0.51852
0.87276	0.37414	3.3307e-17	0.80952
1.3008	0.19934	4.4409e-17	0.65854
3.5978	0.3577	1.3323e-16	0.72432
0.6632	0.52133	4.4409e-17	0.94737
0.69694	0.52365	1.1102e-17	0.90476
2.5439	0.3511	0	0.70455
0.544	0.30013	1.1102e-17	0.77273
0.91064	0.33748	3.3307e-17	0.86486
