Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.3941	0.35292	0.71572	0.52078
0.79649	0.29934	0.76805	0.6474
1.0463	0.29259	0.65602	0.73684
2.5545	0.26509	0.68798	0.51562
0.76637	0.29861	0.22665	0.66102
1.5657	0.21841	0.96822	0.6069
3.7813	0.20303	1.3109	0.29471
2.1944	0.2186	0.75292	0.28387
1.0724	0.28724	0.64228	0.54229
0.85716	0.2822	0.87398	0.30209
4.1799	0.24521	0.95354	0.31549
0.74421	0.27802	0.3523	0.8169
1.0848	0.17575	0.87734	0.35294
0.937	0.23057	0.74425	0.57317
1.1119	0.20571	0.70749	0.66087
1.2556	0.26724	0.25483	0.61176
1.1973	0.17597	0.47004	0.60241
0.61873	0.2686	0.18579	0.78261
3.9451	0.25078	0.76563	0.30841
0.74974	0.291	0.77802	0.27334
1.5594	0.22872	0.41063	0.56173
0.91858	0.22099	0.61847	0.55435
1.5169	0.26307	0.71772	0.38196
1.1276	0.22212	0.27225	0.61386
0.75065	0.26063	0.59263	0.59756
1.2713	0.38365	0.32444	0.75701
0.60901	0.33736	0.81231	0.71591
0.9788	0.23639	0.50332	0.75641
1.9922	0.30458	0.64364	0.67823
0.83498	0.2347	0.24104	0.66667
2.2641	0.21975	0.89966	0.44767
2.5105	0.18188	1.1747	0.5
0.76938	0.22802	0.57154	0.54902
0.86641	0.55202	0.26904	0.88889
0.97344	0.28433	0.094668	0.85915
1.4648	0.16937	0.30803	0.74545
0.97495	0.23392	0.63068	0.65432
