Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.8066	0.23605	0.8229	0.22096
1.5666	0.33278	0.77508	0.35501
1.3045	0.27666	0.56181	0.26437
1.3811	0.22271	0.66127	0.54545
1.0881	0.33222	0.7778	0.34963
2.0594	0.2887	0.73947	0.21036
1.0091	0.3441	0.84745	0.40288
1.5377	0.33615	0.88124	0.39886
1.2901	0.34407	0.6119	0.27848
0.82057	0.31457	0.7769	0.50943
0.91923	0.37234	0.73241	0.52023
1.6816	0.29787	0.93382	0.50678
3.3758	0.26337	0.52305	0.31335
1.0827	0.26535	0.6048	0.44976
1.3182	0.21661	0.45731	0.38889
1.214	0.21489	0.5277	0.3726
1.6578	0.21052	0.33647	0.62727
2.0872	0.28561	0.77847	0.49654
2.3951	0.35015	0.67764	0.29518
1.7906	0.2554	0.82789	0.46398
2.0891	0.23826	0.76843	0.53356
0.94487	0.37316	0.69362	0.46269
1.3768	0.42151	0.76591	0.32353
2.0422	0.23327	0.58282	0.45528
1.6489	0.25851	0.45861	0.52427
0.79843	0.28225	0.54748	0.76136
2.1865	0.2697	0.7312	0.4543
1.5193	0.23107	0.88932	0.38496
3.9415	0.24011	0.97438	0.27586
1.6882	0.25532	0.79862	0.58721
1.0303	0.32596	0.91294	0.66667
0.8368	0.24215	0.69747	0.56051
1.7537	0.19896	0.67936	0.50641
0.87493	0.27839	0.7733	0.70093
2.5545	0.26614	0.5039	0.61905
0.74577	0.47971	0.71073	0.8042
1.8262	0.23043	0.67627	0.43774
