Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.7909	0.28085	0.6862	0.5431
0.99293	0.38384	0.709	0.48189
1.215	0.42002	0.60186	0.37348
1.3259	0.27686	0.76958	0.27017
1.5694	0.36272	0.64871	0.59483
1.1584	0.4314	0.69388	0.34286
0.82933	0.28502	0.43815	0.59677
1.7649	0.31684	0.92083	0.47709
0.79801	0.36973	0.25823	0.72727
0.99641	0.27911	0.49624	0.52
0.80576	0.28699	0.18272	0.73134
1.7998	0.39472	0.55167	0.61765
1.2279	0.37463	0.52791	0.56213
1.7101	0.32214	0.69625	0.60571
0.70173	0.45454	0.11901	0.7622
0.83738	0.4296	0.81385	0.32775
3.9695	0.29468	0.7472	0.26932
0.95802	0.379	0.85719	0.57967
0.51799	0.51799	0.44107	0.79412
0.82462	0.39654	0.76422	0.5796
0.67243	0.36546	0.74905	0.79348
0.74183	0.32371	0.78393	0.40214
0.73931	0.30703	0.093064	0.82143
0.72168	0.23531	0.064338	0.83871
1.1109	0.2991	0.80728	0.44917
1.4781	0.27289	0.67348	0.44248
0.77689	0.41886	0.66679	0.56934
1.6536	0.32802	0.55443	0.68874
1.0407	0.47943	0.20315	0.84466
0.63716	0.48402	0.51169	0.60733
1.4325	0.25395	0.60036	0.66387
0.82269	0.44283	0.6261	0.64732
1.0603	0.34125	0.80297	0.60996
1.7822	0.23657	0.76464	0.58095
2.0984	0.22659	0.34992	0.65161
1.1444	0.28598	0.44947	0.72143
0.8027	0.8027	0.20389	0.8875
2.0704	0.28416	0.92991	0.53401
3.2868	0.27176	0.58273	0.54167
0.69163	0.42779	0.42641	0.8
5.6876	0.25813	0.82122	0.37931
0.67493	0.29689	0.89165	0.74684
2.6677	0.28568	0.73144	0.65865
