Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.8495	0.31436	0.6862	0.5431
8.0761	0.27708	0.74579	0.3022
13.797	0.37381	0.99272	0.2262
4.7743	0.34801	0.709	0.48189
7.2336	0.4076	0.60186	0.37348
9.0217	0.30659	0.76958	0.27017
7.4077	0.35783	0.64871	0.59483
8.0973	0.41276	0.69388	0.34286
5.618	0.559	0.63151	0.68267
2.4359	0.29176	0.43815	0.59677
5.1413	0.33064	0.92083	0.47709
1.6588	0.41687	0.25823	0.72727
6.0555	0.38698	0.81994	0.42361
3.8085	0.29505	0.49624	0.52
6.3564	0.31427	0.99761	0.35254
1.2321	0.38194	0.18272	0.73134
12.147	0.40562	0.79986	0.24604
8.7078	0.49521	0.72781	0.38051
4.8391	0.5299	0.585	0.534
2.9031	0.4863	0.55167	0.61765
4.3571	0.46729	0.40727	0.55643
2.4596	0.37094	0.52791	0.56213
3.1026	0.32812	0.69625	0.60571
2.644	0.54123	0.2265	0.69953
10.322	0.48474	0.63612	0.44606
5.8396	0.44241	0.5294	0.52953
1.8522	0.64816	0.11901	0.7622
8.4333	0.40086	0.81385	0.32775
10.445	0.41652	0.7472	0.26932
6.1012	0.33214	0.85719	0.57967
4.6795	0.42483	0.77566	0.44708
1.8412	0.42251	0.44107	0.79412
6.6837	0.33481	0.76422	0.5796
2.4202	0.28968	0.74905	0.79348
5.2528	0.43149	0.66813	0.43542
4.9228	0.29264	0.78393	0.40214
2.7598	0.348	0.51605	0.625
3.0678	0.42576	0.48589	0.66667
0.95646	0.4619	0.093064	0.82143
0.85036	0.29365	0.064338	0.83871
5.6855	0.32095	0.80728	0.44917
3.274	0.29334	0.67348	0.44248
4.3331	0.34576	0.66679	0.56934
3.1321	0.31889	0.55443	0.68874
1.5147	0.55162	0.20315	0.84466
2.8545	0.39028	0.51169	0.60733
2.6333	0.28813	0.60036	0.66387
3.7445	0.3719	0.6261	0.64732
6.8812	0.37544	1.0991	0.37155
2.3346	0.57182	0.52453	0.72021
5.7619	0.55171	0.72577	0.47353
4.5398	0.31098	0.80297	0.60996
3.529	0.50075	0.36385	0.59547
4.331	0.27054	0.76464	0.58095
3.1481	0.30812	0.34992	0.65161
2.6427	0.36705	0.44947	0.72143
1.3464	1.0129	0.20389	0.8875
4.8602	0.31024	0.92991	0.53401
4.4523	0.33651	0.58273	0.54167
2.7263	0.46501	0.56693	0.75
1.8287	0.35712	0.42641	0.8
7.6038	0.30566	0.82122	0.37931
2.4582	0.23051	0.89165	0.74684
4.1306	0.31854	0.73144	0.65865
2.1836	0.58058	0.37393	0.70588
