Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.9735	0.39082	0.60325	0.62694
4.7692	0.24165	0.57864	0.54795
3.4287	0.47898	0.24419	0.65267
2.101	0.25142	0.41387	0.74324
2.4683	0.23346	0.53526	0.57692
9.955	0.40423	0.78144	0.42668
13.334	0.35652	0.99681	0.21701
2.852	0.26266	0.50527	0.64463
6.8817	0.29307	0.82438	0.34596
7.8531	0.34854	0.69744	0.37599
5.2982	0.27916	1.1365	0.35402
9.7304	0.37507	1.0445	0.45455
5.001	0.38985	0.76096	0.42469
4.2153	0.36909	0.94432	0.4723
7.2056	0.29456	0.57797	0.23117
7.433	0.31268	0.58573	0.48988
6.5501	0.41202	0.89644	0.46833
4.0026	0.4271	0.38406	0.56329
4.6661	0.38695	0.43159	0.73725
5.9211	0.3617	0.57864	0.39054
4.4371	0.30086	0.41467	0.5865
5.3675	0.35607	0.74156	0.4053
2.9596	0.22066	0.61217	0.51908
2.2676	0.30495	0.25041	0.70588
5.5113	0.40603	0.52119	0.44297
2.1822	0.56334	0.20449	0.8
7.5204	0.36396	0.71389	0.33294
1.7967	0.32072	0.47017	0.82192
6.1258	0.42644	0.44186	0.62243
4.1697	0.25106	0.46804	0.52153
3.1124	0.1944	0.7618	0.48837
4.1972	0.34551	0.70531	0.4871
3.0739	0.33743	0.65148	0.48214
5.7259	0.45119	0.76966	0.50755
5.0024	0.26495	0.90631	0.30531
1.9347	0.33259	0.48949	0.59292
5.9581	0.25468	0.6453	0.31984
3.1207	0.36315	0.53012	0.5619
4.7906	0.32678	0.75935	0.41582
2.503	0.24174	0.57853	0.61765
2.068	0.34367	0.45529	0.83146
3.1169	0.30812	0.45135	0.66667
2.0943	0.38979	0.47629	0.81731
2.1952	0.28	0.56406	0.58182
5.6838	0.40891	1.046	0.41509
3.787	0.24346	0.56983	0.63158
0.78677	0.78677	0.033214	0.89873
2.8534	0.19522	0.53661	0.64444
6.949	0.30958	0.81647	0.34783
3.7481	0.28442	0.46259	0.6
1.9386	0.2477	0.4803	0.80645
6.8237	0.27727	0.68995	0.3267
2.4059	0.23951	0.71234	0.53571
1.8434	0.35948	0.45701	0.6699
5.4573	0.31853	0.78936	0.48787
7.0283	0.41678	1.0768	0.39508
5.2708	0.30247	1.0317	0.38161
3.949	0.21158	0.94615	0.47027
2.5315	0.35661	0.43281	0.68613
3.6725	0.35566	0.66574	0.657
3.0879	0.32346	0.72704	0.60465
3.1889	0.31924	0.61729	0.77372
2.9879	0.33429	0.63779	0.53333
4.118	0.25421	0.72277	0.67702
2.2691	0.21586	0.61259	0.68919
0.97278	0.39491	0.13989	0.90909
2.7625	0.28856	0.55856	0.664
2.112	0.27284	0.588	0.53097
