Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
1.326	0.3778	0.86418	0.35744
0.92976	0.32976	0.61682	0.73684
2.3995	0.28244	0.65667	0.51562
0.65455	0.37943	0.00080114	0.85714
1.4378	0.23803	0.91645	0.6069
3.5585	0.21572	1.2522	0.29471
2.0408	0.23508	0.70452	0.28387
0.96994	0.31886	0.60374	0.54229
0.80223	0.35917	0.1452	0.83654
0.77139	0.31829	0.45619	0.74648
3.9203	0.26145	0.89769	0.31549
0.64841	0.31992	0.34977	0.8169
0.8335	0.26017	0.70208	0.57317
1.0022	0.2302	0.66936	0.66087
1.1644	0.24847	0.45367	0.65263
1.0896	0.17198	0.90152	0.40306
1.1449	0.29501	0.23697	0.61176
1.1969	0.17987	0.47496	0.60241
3.7172	0.2664	0.72636	0.30841
2.2148	0.29829	0.64322	0.6165
1.435	0.25017	0.38204	0.56173
0.84338	0.24104	0.59543	0.55435
0.79293	0.30491	0.77239	0.55785
1.0267	0.24475	0.25261	0.61386
0.65162	0.30335	0.57965	0.59756
2.2971	0.35239	0.53489	0.5733
0.64946	0.33256	0.75999	0.46371
1.1195	0.4343	0.31788	0.75701
0.67035	0.32159	0.42895	0.67361
1.6655	0.20251	0.44846	0.73653
0.89487	0.26236	0.48421	0.75641
1.8453	0.32977	0.60693	0.67823
2.1274	0.23416	0.85182	0.44767
2.3678	0.19319	1.1228	0.5
0.7228	0.21024	0.62591	0.52941
0.69323	0.64401	0.25708	0.88889
0.858	0.32281	0.05384	0.85915
1.4055	0.17691	0.30015	0.74545
