Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
7.6634	0.32835	0.86418	0.35744
11.981	0.40963	0.90789	0.21507
2.9858	0.36025	0.61682	0.73684
3.9317	0.32243	0.65667	0.51562
0.65642	0.43893	0.00080114	0.85714
3.5762	0.23633	0.91645	0.6069
7.7326	0.25585	1.2522	0.29471
6.0331	0.28017	0.70452	0.28387
3.3849	0.30927	0.60374	0.54229
2.2542	0.74133	0.1452	0.83654
1.6838	0.30231	0.45619	0.74648
9.891	0.33887	0.86013	0.2652
12.897	0.41701	0.89769	0.31549
1.5811	0.3523	0.34977	0.8169
7.2248	0.42937	0.92625	0.36872
5.2925	0.3339	0.93653	0.37022
3.4078	0.26492	0.70208	0.57317
3.2334	0.22574	0.66936	0.66087
2.6767	0.44492	0.45367	0.65263
3.1931	0.23761	0.90152	0.40306
1.6188	0.3085	0.23697	0.61176
2.4634	0.19493	0.47496	0.60241
6.1384	0.30979	0.72636	0.30841
3.7156	0.32827	0.64322	0.6165
6.3339	0.42304	1.114	0.5027
4.7561	0.30087	0.99567	0.48377
2.5812	0.33859	0.38204	0.56173
2.0342	0.24078	0.59543	0.55435
6.8601	0.3836	0.93463	0.3186
4.3974	0.29484	0.77239	0.55785
1.7003	0.3502	0.25261	0.61386
2.0041	0.23481	0.57965	0.59756
4.615	0.45575	0.53489	0.5733
5.4598	0.34125	0.70911	0.38878
4.1961	0.26321	0.75999	0.46371
1.7552	0.4432	0.31788	0.75701
2.5291	0.36834	0.42895	0.67361
4.8488	0.62194	0.46947	0.62425
2.7119	0.4356	0.44846	0.73653
2.0247	0.27986	0.48421	0.75641
4.2731	0.48323	0.60693	0.67823
5.2507	0.28168	0.85182	0.44767
5.1473	0.28734	0.83269	0.53287
4.6134	0.22067	1.1228	0.5
2.1833	0.19795	0.62591	0.52941
1.3788	0.61297	0.25708	0.88889
3.9825	0.36896	0.69255	0.51
11.582	0.25374	2.388	0.19603
0.98362	0.5956	0.05384	0.85915
2.1058	0.18699	0.30015	0.74545
3.4651	0.27162	0.91234	0.48276
3.2212	0.42635	0.38883	0.65297
