Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.55805	0.32699	2.2204e-17	0.90476
1.2671	0.30317	4.4409e-17	0.83333
1.0816	0.41732	0	0.92157
1.7092	0.41018	8.8818e-17	0.7449
1.4015	0.34263	2.2204e-17	0.76923
1.2686	0.56022	6.6613e-17	0.87059
0.73342	0.34047	4.4409e-17	0.74286
3.8838	0.4377	8.8818e-17	0.63214
2.2468	0.37189	0	0.59184
1.8939	0.3499	8.8818e-17	0.56098
0.86211	0.44561	2.2204e-17	0.86957
1.4564	0.21761	6.6613e-17	0.62264
0.92297	0.3746	1.1102e-17	0.83721
0.9938	0.40588	5.5511e-17	0.875
0.55497	0.55497	1.1102e-17	0.92308
0.79346	0.79346	0	0.87952
0.51389	0.29902	2.2204e-17	0.94118
1.0546	0.28231	4.4409e-17	0.72093
3.2658	0.34407	0	0.61579
2.0931	0.65154	0	0.74737
1.1907	0.28229	4.4409e-17	0.64815
1.2577	0.37416	0	0.75385
0.55113	0.55113	1.1102e-17	0.89796
1.2672	0.33347	4.4409e-17	0.78571
1.0529	0.3375	4.4409e-17	0.7551
1.0092	0.50438	6.6613e-17	0.89831
1.0812	0.32868	4.4409e-17	0.82222
0.91375	0.29429	2.2204e-17	0.875
2.2204	0.48012	0	0.64912
5.5532	0.37183	2.6645e-16	0.39889
1.8028	0.48479	2.2204e-17	0.66912
3.0761	0.44023	8.8818e-17	0.59494
1.6338	0.24688	2.2204e-17	0.62687
0.61051	0.22024	0	0.77778
5.0204	0.30608	8.8818e-17	0.43716
6.0132	0.31624	3.5527e-16	0.42308
