Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
6.0177	0.3559	0.89411	0.39123
8.7847	0.35312	0.78556	0.46475
14.471	0.37564	1.2553	0.25987
2.6263	0.50099	0.07831	0.81065
7.3138	0.30202	0.64694	0.52511
7.9594	0.43197	0.71734	0.43289
6.8224	0.64332	0.41706	0.47904
3.4776	0.21541	0.62733	0.66102
4.0354	0.3332	0.49051	0.69307
9.1622	0.35011	0.69744	0.25056
2.9375	0.82389	0.035079	0.7875
3.811	0.20413	0.58518	0.49693
4.8002	0.32812	0.46669	0.54849
7.1767	0.33723	0.73252	0.28702
3.921	0.4017	0.5508	0.42597
2.7652	0.20839	0.44386	0.53097
2.1094	0.32326	0.24429	0.70297
8.3696	0.31671	0.79015	0.2887
11.521	0.42681	1.1261	0.321
3.1526	0.33205	0.34773	0.49545
6.1228	0.54586	0.34378	0.55769
5.681	0.60353	0.39838	0.59106
4.3649	0.29264	0.51988	0.7037
10.361	0.4468	0.60807	0.266
2.2992	0.57645	0.35759	0.72632
5.503	0.4014	0.55248	0.4021
4.3579	0.33278	0.43533	0.35952
2.9269	0.3511	0.39748	0.5847
10.691	0.34946	1.3892	0.23505
4.9575	0.43782	0.3584	0.43212
3.3245	0.31488	0.7015	0.64881
1.932	0.43745	0.33209	0.8381
0.98	0.4116	0.132	0.875
3.9177	0.36036	0.59197	0.60996
5.0989	0.31832	0.924	0.43223
