Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
3.6964	0.31178	0.64196	0.57143
7.6934	0.28088	0.70701	0.33383
13.719	0.37103	0.994	0.22553
7.6089	0.33701	0.66823	0.38696
7.3107	0.39411	0.60976	0.3663
7.4289	0.35164	0.6527	0.60714
2.5908	0.2669	0.45813	0.576
7.948	0.40721	0.68007	0.34075
7.0121	0.49854	0.73115	0.58995
4.7685	0.34038	0.82797	0.46429
1.6079	0.43006	0.24648	0.70588
6.0057	0.38699	0.7877	0.42531
3.8257	0.30124	0.50885	0.51502
4.3508	0.28034	0.7984	0.43051
12.244	0.40004	0.81916	0.24332
8.9523	0.46667	0.75219	0.36927
4.6464	0.51467	0.65374	0.56591
2.9211	0.4866	0.55886	0.65778
4.2397	0.43719	0.4564	0.54674
3.0946	0.31345	0.70447	0.59763
10.099	0.50401	0.61238	0.45769
5.7627	0.43497	0.53076	0.52515
1.7777	0.65368	0.11529	0.74233
8.4193	0.38898	0.8102	0.31839
2.9074	0.44263	0.36892	0.72826
2.3794	0.55702	0.22554	0.71875
1.8834	0.26516	0.39928	0.77612
6.8128	0.3341	0.72225	0.59398
6.0925	0.34522	0.85858	0.5733
4.6985	0.39654	0.7976	0.4292
10.025	0.36307	0.81013	0.2505
3.3168	0.24033	0.80893	0.55705
2.4225	0.26959	0.73518	0.76404
3.3315	0.30269	0.70973	0.49528
5.1426	0.4258	0.62624	0.4497
3.6239	0.29152	0.71417	0.52381
2.6064	0.2911	0.60245	0.71818
7.3928	0.29749	0.86928	0.35069
1.9317	0.44745	0.34442	0.76271
3.5197	0.28105	0.64263	0.40873
5.4257	0.32747	0.81175	0.46135
4.2731	0.35062	0.66071	0.55714
2.8085	0.33854	0.44199	0.70213
1.0299	0.373	0.20772	0.85106
2.9502	0.37762	0.49823	0.58586
8.4733	0.35363	1.0953	0.31837
2.3635	0.52824	0.54011	0.70652
4.5164	0.27431	0.65984	0.56087
5.8685	0.53351	0.75163	0.47315
4.546	0.3	0.81459	0.65438
3.51	0.47884	0.36808	0.5814
2.0127	0.22427	0.64959	0.78333
3.1734	0.29658	0.38356	0.6242
2.6684	0.35991	0.46343	0.70922
1.4479	0.9021	0.24702	0.88312
4.7609	0.31268	0.91068	0.5
2.6426	0.46518	0.5521	0.73143
2.257	0.55744	0.41353	0.70053
2.1115	0.37297	0.61328	0.79612
