Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
8.2556	0.58748	0.68568	0.48651
3.1629	0.23381	0.72254	0.40104
6.3685	0.35891	0.6501	0.39145
7.5759	0.26622	0.68485	0.32357
6.1234	0.32309	0.83325	0.50614
1.4623	0.26928	0.31816	0.83673
2.1275	0.29342	0.43564	0.77381
8.0558	0.33023	0.68227	0.34887
3.3647	0.5252	0.31549	0.57321
1.6009	0.5999	0.042529	0.93458
9.9329	0.35292	0.72967	0.28471
3.2638	0.22658	0.75744	0.60156
4.5083	0.41327	0.58959	0.54494
2.211	0.46478	0.29553	0.75887
4.8071	0.40957	0.62841	0.54377
6.2776	0.44367	0.94203	0.42584
6.7096	0.56969	0.62095	0.43261
3.2534	0.2332	0.66314	0.6371
2.5675	0.36285	0.5231	0.61392
1.8977	0.41499	0.40568	0.68333
2.0926	1.2851	0.10655	0.8805
1.7208	0.47439	0.31918	0.83333
1.0215	0.57353	0.10807	0.89706
2.7292	0.44339	0.44603	0.59155
2.0788	0.40656	0.50413	0.71545
2.7526	0.24772	0.68999	0.60169
2.109	0.22313	0.54753	0.66216
3.8537	0.52086	0.4687	0.63142
2.8776	0.2136	0.71	0.58182
3.1328	0.38627	0.6317	0.65969
4.1287	0.26053	0.79752	0.54902
2.2413	0.35137	0.5788	0.75229
8.5547	0.33343	0.93939	0.3043
2.1466	0.20581	0.6055	0.67647
0.90591	0.90591	0.061134	0.92784
4.4829	0.34063	0.85447	0.636
2.1	0.2058	0.55329	0.50562
1.7505	0.32919	0.52695	0.8
3.2008	0.27004	0.73725	0.55901
