Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.3465	0.22413	0.44803	0.40394
3.671	0.32709	0.72961	0.46447
0.7497	0.34308	0.57878	0.72903
3.9678	0.28885	0.73696	0.56216
1.1061	0.2618	0.19358	0.68056
1.2558	0.32739	0.81492	0.26715
0.93392	0.30161	0.74106	0.30251
1.2701	0.33943	0.35252	0.75455
0.908	0.37477	0.74363	0.71942
1.0357	0.29664	0.54608	0.62931
1.3591	0.27252	0.68154	0.21522
2.364	0.2415	0.61762	0.4248
1.9935	0.2724	0.86632	0.17033
1.2312	0.30842	0.6447	0.56749
0.81559	0.53073	0.15614	0.89231
0.76408	0.50918	0.57406	0.76991
1.4259	0.2122	0.33767	0.4898
0.66694	0.32166	0.37183	0.73118
2.1534	0.32704	0.71038	0.54839
1.0309	0.3332	0.63105	0.60987
0.54766	0.50023	0.57451	0.76699
1.5651	0.21868	0.51794	0.49393
1.272	0.20829	0.27975	0.6338
0.86804	0.39135	0.494	0.88889
1.6903	0.26752	0.83794	0.48636
2.1945	0.22275	0.20771	0.56716
2.1711	0.23399	0.73596	0.33594
2.0013	0.18927	0.54214	0.4698
0.86846	0.29795	0.33534	0.80882
2.6338	0.28569	0.90331	0.32568
1.7889	0.26837	0.60353	0.42444
1.1949	0.26662	0.37174	0.66929
0.98109	0.19227	0.3004	0.8
0.72315	0.25211	0.69332	0.74627
1.1731	0.30269	0.14465	0.85185
0.51016	0.51016	0.92625	0.7963
1.9521	0.19123	1.2302	0.37131
0.81831	0.43866	0.55354	0.75281
