Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
4.8854	0.3224	0.44803	0.40394
6.0299	0.36314	0.85834	0.44186
6.1031	0.42173	0.72961	0.46447
3.6436	0.29785	0.57878	0.72903
6.7448	0.46562	0.95082	0.42523
7.8982	0.37938	0.73696	0.56216
6.6721	0.26198	1.7595	0.28
2.7838	0.33809	0.19358	0.68056
8.59	0.33094	0.81492	0.26715
9.8548	0.35084	0.67452	0.31034
10.252	0.51897	0.5776	0.31229
6.6154	0.28019	0.74106	0.30251
2.2102	0.36067	0.35252	0.75455
2.6431	0.36336	0.74363	0.71942
2.3098	0.30352	0.54608	0.62931
8.1745	0.28902	0.68154	0.21522
5.0404	0.30677	0.61762	0.4248
10.657	0.32083	0.86632	0.17033
6.4478	0.30833	0.85551	0.38051
5.5292	0.35781	0.6447	0.56749
1.1279	0.49388	0.15614	0.89231
1.9122	0.43696	0.57406	0.76991
2.5515	0.27101	0.33767	0.4898
2.1542	0.30316	0.37183	0.73118
9.1648	0.47471	0.64165	0.42535
8.5468	0.38206	0.71038	0.54839
3.4049	0.30463	0.66203	0.63905
11.631	0.38148	0.8493	0.23656
4.1861	0.31202	0.63105	0.60987
4.8896	0.24356	1.055	0.31156
1.8882	0.40182	0.57451	0.76699
6.0215	0.37641	0.84059	0.35866
3.2916	0.35596	0.51794	0.49393
1.8315	0.23597	0.27975	0.6338
2.1854	0.38673	0.494	0.88889
3.3662	0.30528	0.83794	0.48636
3.3715	0.32474	0.20771	0.56716
4.379	0.28292	0.73596	0.33594
3.2663	0.20583	0.54214	0.4698
5.7508	0.57783	0.56579	0.49928
12.038	0.4364	1.3361	0.29236
1.5391	0.34319	0.33534	0.80882
6.5481	0.35347	0.90331	0.32568
4.0018	0.31679	0.60353	0.42444
2.434	0.33538	0.37174	0.66929
1.5819	0.21856	0.3004	0.8
2.1098	0.22761	0.69332	0.74627
1.6071	0.96216	0.14465	0.85185
2.3627	0.34958	0.92625	0.7963
1.9228	0.35462	0.34106	0.61739
4.4124	0.19154	1.2302	0.37131
1.9254	0.3342	0.55354	0.75281
