Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
5.6885	0.31741	0.71572	0.52078
3.8687	0.27804	0.76805	0.6474
12.686	0.38685	0.95585	0.21507
3.233	0.33271	0.65602	0.73684
4.1598	0.30476	0.68798	0.51562
2.8818	0.38992	0.22665	0.66102
3.8249	0.22096	0.96822	0.6069
8.1508	0.24273	1.3109	0.29471
6.461	0.26162	0.75292	0.28387
3.6415	0.28747	0.64228	0.54229
2.5139	0.66475	0.15868	0.83654
9.3056	0.28279	0.87398	0.30209
10.451	0.32073	0.9044	0.2652
13.715	0.39213	0.95354	0.31549
1.6837	0.33084	0.3523	0.8169
7.6536	0.40531	0.97468	0.36872
5.617	0.3146	0.98668	0.37022
3.7169	0.21705	0.87734	0.35294
3.6659	0.24626	0.74425	0.57317
3.4702	0.21034	0.70749	0.66087
2.8684	0.41517	0.47656	0.65263
1.7652	0.28291	0.25483	0.61176
2.6074	0.18417	0.47004	0.60241
1.1142	0.31032	0.18579	0.78261
6.4972	0.29268	0.76563	0.30841
7.2089	0.39567	0.71227	0.38925
6.7387	0.39763	1.1799	0.5027
5.0661	0.28247	1.0459	0.48377
6.1959	0.24956	0.77802	0.27334
2.7913	0.3131	0.41063	0.56173
2.1555	0.22723	0.61847	0.55435
1.5823	0.67372	0.19203	0.90244
7.3568	0.3577	1.006	0.3186
3.1607	0.39805	0.45094	0.67526
5.8232	0.3282	0.71772	0.38196
1.8536	0.32124	0.27225	0.61386
2.1335	0.22058	0.59263	0.59756
1.9202	0.40512	0.32444	0.75701
5.2148	0.57829	0.50588	0.62425
2.2336	0.27088	0.81231	0.71591
2.1532	0.26316	0.50332	0.75641
4.5667	0.45215	0.64364	0.67823
1.3974	0.31614	0.24104	0.66667
5.5628	0.26587	0.89966	0.44767
5.4754	0.27012	0.88577	0.53287
4.8599	0.20948	1.1747	0.5
2.484	0.21651	0.57154	0.54902
1.5838	0.53361	0.26904	0.88889
2.7439	0.31501	0.69533	0.65693
4.2473	0.34596	0.73938	0.51
1.1943	0.49052	0.094668	0.85915
2.1836	0.18033	0.30803	0.74545
3.6983	0.25449	0.95974	0.48276
2.2363	0.22761	0.63068	0.65432
3.4631	0.39657	0.41557	0.65297
7.3979	0.26613	1.0984	0.30689
3.8957	0.46101	0.57546	0.57187
