Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
2.1895	0.27706	0.88192	0.39744
1.9503	0.21864	0.86921	0.22096
1.7089	0.30503	0.81703	0.35501
1.4185	0.25379	0.59293	0.26437
1.4866	0.20641	0.69373	0.54545
1.207	0.29931	0.82134	0.34963
2.2108	0.26886	0.7806	0.21036
0.69422	0.36804	0.66093	0.58871
1.1269	0.30722	0.88564	0.40288
1.683	0.30705	0.92932	0.39886
1.4097	0.31447	0.6381	0.27848
0.92753	0.27749	0.81666	0.50943
1.047	0.32586	0.76392	0.52023
1.8114	0.27605	0.98595	0.50678
3.5972	0.24716	0.56465	0.31335
1.0931	0.2419	0.61183	0.42672
1.4331	0.19863	0.48839	0.38889
1.2996	0.20037	0.55255	0.3726
1.7745	0.19535	0.35206	0.62727
2.2498	0.2651	0.81964	0.49654
2.5703	0.32481	0.70895	0.29518
1.9132	0.23861	0.86378	0.46398
2.2525	0.22086	0.81907	0.53356
1.0704	0.32858	0.72254	0.46269
0.64299	0.39037	0.57697	0.49575
1.5334	0.37775	0.81175	0.32353
0.88029	0.25412	0.77785	0.65385
2.3721	0.21785	0.65675	0.47727
1.7892	0.23606	0.48825	0.52427
2.3508	0.25072	0.77606	0.4543
1.6466	0.21291	0.93811	0.38496
4.2046	0.22499	1.0356	0.27586
1.8258	0.23451	0.82663	0.58721
1.1647	0.28767	0.98194	0.66667
2.0232	0.22023	0.50313	0.61187
1.8932	0.18393	0.71455	0.50641
0.88447	0.40351	0.72038	0.8042
1.9747	0.21305	0.72471	0.43774
