Length[mum]	Width[mum]	Velocity[mum/s]	Solidity	
0.94512	0.23372	0	0.82143
3.6475	0.26067	4.594e-17	0.44196
1.322	0.2252	0	0.7561
1.4426	0.3262	4.594e-17	0.80328
1.6561	0.20877	2.297e-17	0.72
2.2522	0.34541	4.594e-17	0.59124
0.66223	0.42057	0	0.90625
2.7779	0.50823	0	0.6125
3.8383	0.36281	0	0.42522
1.5891	0.51372	6.891e-17	0.77982
0.92112	0.50047	5.7425e-17	0.85714
1.6023	0.2877	1.1485e-16	0.59259
0.83474	0.14957	0	0.8125
1.4277	0.33634	4.594e-17	0.90909
0.84543	0.24992	4.594e-17	0.81481
1.0742	0.31291	4.594e-17	0.875
3.3805	0.2841	2.297e-16	0.54645
1.5481	0.29778	6.891e-17	0.78689
0.68245	0.3096	2.297e-17	1
1.9538	0.32935	6.891e-17	0.67677
0.51668	0.51668	3.4455e-17	0.93548
1.0223	0.68581	4.594e-17	0.85882
3.4166	0.26985	4.594e-17	0.47761
1.1907	0.20164	0	0.75758
1.347	0.2638	6.891e-17	0.63793
2.553	0.2671	0	0.53788
